id,casenumber,date,block,iucr,primarytype,description,locationdescription,arrest,domestic,beat,district,ward,communityarea,fbicode,xcoordinate,ycoordinate,year,updatedon,latitude,longitude,location
10271814,HY459930,10/13/2015 07:19:00 AM,048XX S HALSTED ST,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,STREET,false,false,935,9,11,61,08A,1171782,1872943,2015,10/20/2015 03:56:48 PM,41.806812,-87.645477,"(41.806811598, -87.645480967)"
10271470,HY459740,10/12/2015 09:58:00 PM,027XX N SAWYER AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,true,false,1412,14,35,22,04A,1154059,1917963,2015,10/20/2015 03:54:43 PM,41.930721,-87.709282,"(41.930722201, -87.709283225)"
10271485,HY459739,10/12/2015 08:58:00 PM,117XX S PRINCETON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,false,false,522,5,34,53,04A,1176391,1827086,2015,10/19/2015 03:58:42 PM,41.68087,-87.629951,"(41.680871857, -87.629951505)"
10271391,HY459646,10/12/2015 08:15:00 PM,077XX S WESTERN AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,false,false,835,8,18,70,04A,1161724,1853195,2015,10/19/2015 03:58:42 PM,41.752834,-87.682915,"(41.752835362, -87.682918387)"
10271408,HY459642,10/12/2015 08:00:00 PM,078XX S CONSTANCE AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,414,4,8,43,08A,1189897,1853335,2015,10/19/2015 03:58:42 PM,41.75259,-87.579674,"(41.752588703, -87.579672194)"
10271363,HY459671,10/12/2015 07:30:00 PM,033XX W 47TH ST,0560,ASSAULT,SIMPLE,BAR OR TAVERN,false,false,821,8,14,58,08A,1154724,1873271,2015,10/19/2015 03:58:42 PM,41.808071,-87.708038,"(41.808069268, -87.70803582)"
10272450,HY459599,10/12/2015 07:18:00 PM,008XX W HUTCHINSON ST,0560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,false,1915,19,46,3,08A,1170005,1928495,2015,10/19/2015 03:58:42 PM,41.95929,-87.650375,"(41.959288989, -87.650376957)"
10271442,HY459677,10/12/2015 06:40:00 PM,054XX W ARDMORE AVE,0560,ASSAULT,SIMPLE,CTA BUS,false,false,1621,16,45,11,08A,1139019,1937967,2015,10/19/2015 03:58:42 PM,41.985901,-87.764061,"(41.98590212, -87.764064302)"
10271242,HY459492,10/12/2015 06:16:00 PM,020XX N PULASKI RD,0560,ASSAULT,SIMPLE,OTHER,false,true,2525,25,30,20,08A,1149378,1913474,2015,10/19/2015 03:58:42 PM,41.918495,-87.726601,"(41.918496184, -87.726601733)"
10271239,HY459497,10/12/2015 06:00:00 PM,014XX N LATROBE AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,2532,25,37,25,04A,1141100,1909125,2015,10/19/2015 03:58:42 PM,41.906719,-87.757126,"(41.906718726, -87.757123501)"
10271393,HY459490,10/12/2015 05:45:00 PM,001XX W 33RD ST,0560,ASSAULT,SIMPLE,CTA TRAIN,false,false,915,9,11,34,08A,1175704,1883105,2015,10/19/2015 03:58:42 PM,41.83461,-87.630791,"(41.834609981, -87.630791672)"
10271192,HY459417,10/12/2015 05:17:00 PM,046XX W DIVERSEY AVE,0560,ASSAULT,SIMPLE,DEPARTMENT STORE,false,false,2521,25,31,20,08A,1144951,1918212,2015,10/19/2015 03:58:42 PM,41.931583,-87.742744,"(41.931582515, -87.742747165)"
10271270,HY459439,10/12/2015 05:15:00 PM,0000X N PARKSIDE AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,1513,15,29,25,08A,1138598,1899823,2015,10/19/2015 03:58:42 PM,41.881237,-87.766541,"(41.881238631, -87.766540228)"
10271198,HY459393,10/12/2015 05:10:00 PM,031XX W MADISON ST,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,PARKING LOT/GARAGE(NON.RESID.),false,true,1222,12,28,27,04A,1155486,1899851,2015,10/19/2015 03:58:42 PM,41.880993,-87.704529,"(41.880992663, -87.704527184)"
